player_id,transfer_date,transfer_season,from_club_id,to_club_id,from_club_name,to_club_name,transfer_fee,market_value_in_eur,player_name,nationality,league_from,league_to,position,age,transfer_window,contract_year_left
1138758,2026-07-01,26/27,336,631,Sporting CP,Chelsea,52140000.0,45000000.0,Geovany Quenda,Portugal,PO1,GB1,Attack,19.0,summer,2.0
149729,2025-07-01,25/26,294,114,Benfica,Besiktas,2000000.0,2300000.0,João Mário,Portugal,PO1,TR1,Attack,32.0,summer,
234811,2025-07-01,25/26,150,336,Real Betis,Sporting CP,4700000.0,6000000.0,Rui Silva,Portugal,ES1,PO1,Goalkeeper,31.0,summer,1.0
249303,2025-07-01,25/26,3948,3057,Union SG,Standard Liège,1000000.0,2500000.0,Dennis Eckert Ayensa,Germany,BE1,BE1,Attack,28.0,summer,1.0
263236,2025-07-01,25/26,826,148,Lens,Tottenham,25000000.0,25000000.0,Kevin Danso,Austria,FR1,GB1,Defender,26.0,summer,1.0
275218,2025-07-01,25/26,209,367,River Plate,Rayo Vallecano,1600000.0,6000000.0,Augusto Batalla,Argentina,ARG1,ES1,Goalkeeper,29.0,summer,
278343,2025-07-01,25/26,167,114,FC Augsburg,Besiktas,5000000.0,8000000.0,Felix Uduokhai,Germany,L1,TR1,Defender,27.0,summer,1.0
283994,2025-07-01,25/26,39,3911,1.FSV Mainz 05,Stade Brestois,2000000.0,4000000.0,Ludovic Ajorque,France,L1,FR1,Attack,31.0,summer,3.0
284883,2025-07-01,25/26,720,1075,FC Porto,SC Braga,2700000.0,6000000.0,Fran Navarro,Spain,PO1,PO1,Attack,27.0,summer,1.0
287579,2025-07-01,25/26,430,36,Fiorentina,Fenerbahce,12000000.0,20000000.0,Sofyan Amrabat,Morocco,IT1,TR1,Midfield,28.0,summer,1.0
301238,2025-07-01,25/26,2919,506,Monza,Juventus,14300000.0,18000000.0,Michele Di Gregorio,Italy,IT1,IT1,Goalkeeper,27.0,summer,1.0
375137,2025-07-01,25/26,162,141,Monaco,Galatasaray,8000000.0,7000000.0,Ismail Jakobs,Senegal,FR1,TR1,Defender,25.0,summer,1.0
407491,2025-07-01,25/26,3385,1091,Panserraikos,PAOK Salonika,1000000.0,700000.0,Luka Gugeshashvili,Georgia,GR1,GR1,Goalkeeper,26.0,summer,
430280,2025-07-01,25/26,506,607,Juventus,Venezia,3500000.0,8000000.0,Hans Nicolussi Caviglia,Italy,IT1,IT1,Midfield,25.0,summer,2.0
480116,2025-07-01,25/26,762,506,Newcastle,Juventus,17200000.0,18000000.0,Lloyd Kelly,England,GB1,IT1,Defender,26.0,summer,1.0
485960,2025-07-01,25/26,3911,273,Stade Brestois,Stade Rennais,12000000.0,10000000.0,Lilian Brassier,France,FR1,FR1,Defender,25.0,summer,1.0
486031,2025-07-01,25/26,430,506,Fiorentina,Juventus,28100000.0,28000000.0,Nico González,Argentina,IT1,IT1,Attack,27.0,summer,1.0
490423,2025-07-01,25/26,409,1047,RB Salzburg,Como,5000000.0,4000000.0,Ignace Van der Brempt,Belgium,AUT1,IT1,Defender,23.0,summer,1.0
499721,2025-07-01,25/26,964,537,Zenit S-Pb,Botafogo,20000000.0,20000000.0,Wendel,Brazil,RU1,BRA1,Midfield,27.0,summer,
502247,2025-07-01,25/26,58,475,RSC Anderlecht,Sint-Truiden,1750000.0,2000000.0,Louis Patris,Belgium,BE1,BE1,Defender,24.0,summer,1.0
530742,2025-07-01,25/26,7775,398,Hatayspor,Lazio,3430000.0,8000000.0,Fisayo Dele-Bashiru,Nigeria,TR1,IT1,Midfield,24.0,summer,
569383,2025-07-01,25/26,162,167,Monaco,FC Augsburg,5000000.0,17000000.0,Chrislain Matsima,France,FR1,L1,Defender,23.0,summer,5.0
624690,2025-07-01,25/26,18,12,Bor. M'gladbach,AS Roma,18000000.0,35000000.0,Manu Koné,France,L1,IT1,Midfield,24.0,summer,
627228,2025-07-01,25/26,281,16,Man City,Bor. Dortmund,25000000.0,20000000.0,Yan Couto,Brazil,GB1,L1,Defender,23.0,summer,1.0
670717,2025-07-01,25/26,336,631,Sporting CP,Chelsea,22270000.0,15000000.0,Dário Essugo,Portugal,PO1,GB1,Midfield,20.0,summer,1.0
746910,2025-07-01,25/26,3948,82,Union SG,VfL Wolfsburg,15000000.0,32000000.0,Mohamed Amoura,Algeria,BE1,L1,Attack,25.0,summer,1.0
865682,2025-07-01,25/26,2727,23826,OH Leuven,RB Leipzig,16000000.0,10000000.0,Ezechiel Banzuzi,Netherlands,BE1,L1,Midfield,20.0,summer,2.0
892160,2025-07-01,25/26,447,148,Hajduk Split,Tottenham,11000000.0,12000000.0,Luka Vuskovic,Croatia,CRO1,GB1,Defender,18.0,summer,1.0
894050,2025-07-01,25/26,5619,306,Aalesund,Heerenveen,500000.0,3000000.0,Nikolai Hopland,Norway,NOR1,NL1,Defender,20.0,summer,4.0
926694,2025-07-01,25/26,13,23826,Atlético Madrid,RB Leipzig,20000000.0,22000000.0,Arthur Vermeeren,Belgium,ES1,L1,Midfield,20.0,summer,5.0
933900,2025-07-01,25/26,180,667,Southampton,R. Strasbourg,7000000.0,2000000.0,Samuel Amo-Ameyaw,England,GB1,FR1,Attack,18.0,summer,1.0
1043003,2025-07-01,25/26,10484,405,Kasimpasa,Aston Villa,7000000.0,6000000.0,Yasin Özcan,Türkiye,TR1,GB1,Defender,19.0,summer,2.0
1052867,2025-07-01,25/26,3166,1063,Pau FC,Viborg FF,134000.0,200000.0,Yonis Njoh,France,FR2,DK1,Attack,21.0,summer,5.0
404846,2025-03-11,24/25,338,18303,Dynamo Kyiv,FC Oleksandriya,500000.0,600000.0,Sergiy Buletsa,Ukraine,UKR1,UKR1,Midfield,26.0,winter,
1093843,2025-03-11,24/25,16653,85465,Botafogo U20,Karpaty Lviv,70000.0,100000.0,Fabiano,Brazil,BRA1Y,UKR1,Attack,18.0,winter,
1083070,2025-03-10,24/25,330,660,Atlético-MG,Shakhtar D.,14000000.0,4500000.0,Alisson,Brazil,BRA1,UKR1,Attack,19.0,winter,2.5
743627,2025-03-09,24/25,289,63007,Sunderland,LNZ Cherkasy,500000.0,900000.0,Jewison Bennette,Costa Rica,GB1,UKR1,Attack,20.0,winter,1.5
657220,2025-03-06,24/25,209,2410,River Plate,CSKA Moscow,3700000.0,5500000.0,Rodrigo Villagra,Argentina,ARG1,RU1,Midfield,24.0,winter,0.5
642947,2025-02-28,24/25,4507,48332,ND Primorje,Kolos Kovalivka,50000.0,200000.0,Elias,Brazil,SVN2,UKR1,Midfield,26.0,winter,
1111025,2025-02-23,24/25,9554,48726,NK Orijent 1919,Rukh Lviv,50000.0,450000.0,Baboucarr Faal,The Gambia,CRO2,UKR1,Attack,21.0,winter,
171072,2025-02-20,24/25,2410,964,CSKA Moscow,Zenit S-Pb,1300000.0,4000000.0,Sasa Zdjelar,Serbia,RU1,RU1,Midfield,29.0,winter,
570423,2025-02-20,24/25,1083,121,Rostov,Dynamo Moscow,8000000.0,8000000.0,Danil Glebov,Russia,RU1,RU1,Midfield,25.0,winter,
541006,2025-02-19,24/25,8956,1124,Shamakhi,Fakel Voronezh,100000.0,450000.0,Belajdi Pusi,Albania,AZE1,RU1,Attack,27.0,winter,
756494,2025-02-19,24/25,333,121,Lanús,Dynamo Moscow,3400000.0,1000000.0,Juan José Cáceres,Paraguay,ARG1,RU1,Defender,24.0,winter,
501777,2025-02-18,24/25,3714,14589,Enisey,Orenburg,260000.0,400000.0,Maksim Saveljev,Russia,RU1,RU1,Attack,23.0,winter,
334481,2025-02-17,24/25,11127,3725,Ural,Akhmat Grozny,200000.0,800000.0,Leo Goglichidze,Russia,RU1,RU1,Defender,27.0,winter,2.5
371996,2025-02-17,24/25,8793,2410,RB Bragantino,CSKA Moscow,4200000.0,4000000.0,Alerrandro,Brazil,BRA1,RU1,Attack,25.0,winter,
863190,2025-02-13,24/25,13365,75231,CR Belouizdad,Dinamo Makhach.,200000.0,225000.0,Mohamed Azzi,Algeria,ALG1,RU1,Defender,22.0,winter,1.5
179860,2025-02-11,24/25,265,11282,Panathinaikos,Alanyaspor,750000.0,2500000.0,Andraz Sporar,Slovenia,GR1,TR1,Attack,30.0,winter,1.5
230361,2025-02-11,24/25,3837,2293,Fredrikstad,Konyaspor,650000.0,700000.0,Morten Bjørlo,Norway,NOR1,TR1,Midfield,29.0,winter,2.5
265542,2025-02-11,24/25,3840,2832,Adana Demirspor,Gaziantep FK,1000000.0,800000.0,Semih Güler,Türkiye,TR1,TR1,Defender,30.0,winter,2.5
422203,2025-02-11,24/25,449,6890,Trabzonspor,Basaksehir,2000000.0,2300000.0,Umut Güneş,Türkiye,TR1,TR1,Midfield,24.0,winter,3.5
432752,2025-02-11,24/25,683,6890,Olympiacos,Basaksehir,1500000.0,1000000.0,Ivan Brnic,Croatia,GR1,TR1,Attack,23.0,winter,2.5
616894,2025-02-11,24/25,449,141,Trabzonspor,Galatasaray,3500000.0,4000000.0,Eren Elmalı,Türkiye,TR1,TR1,Defender,24.0,winter,3.5
674241,2025-02-11,24/25,1147,449,AC Ajaccio,Trabzonspor,1000000.0,1800000.0,Tim Jabol-Folcarelli,France,FR1,TR1,Midfield,25.0,winter,4.5
756991,2025-02-11,24/25,209,232,River Plate,Spartak Moscow,10000000.0,7000000.0,Pablo Solari,Argentina,ARG1,RU1,Attack,23.0,winter,1.5
1007972,2025-02-11,24/25,17425,114,CD La Equidad,Besiktas,1940000.0,1400000.0,Élan Ricardo,Colombia,COL1,TR1,Midfield,20.0,winter,
1074584,2025-02-09,24/25,19309,114,Independiente,Besiktas,5670000.0,4000000.0,Keny Arroyo,Ecuador,ARG1,TR1,Attack,18.0,winter,
1119009,2025-02-08,24/25,2462,660,Fluminense,Shakhtar D.,17000000.0,9000000.0,Kauã Elias,Brazil,BRA1,UKR1,Attack,18.0,winter,4.5
274694,2025-02-07,24/25,458,71985,Palermo,Akron Togliatti,130000.0,750000.0,Ionuț Nedelcearu,Romania,IT1,RU1,Defender,28.0,winter,0.5
354587,2025-02-07,24/25,2441,232,AEK Athens,Spartak Moscow,18700000.0,15000000.0,Levi García,Trinidad and Tobago,GR1,RU1,Attack,27.0,winter,3.5
390379,2025-02-07,24/25,2832,449,Gaziantep FK,Trabzonspor,403000.0,1300000.0,Mustafa Eskihellaç,Türkiye,TR1,TR1,Defender,27.0,winter,2.5
966488,2025-02-07,24/25,44286,126,Bucaspor 1928,C. Rizespor,214000.0,125000.0,Efe Doğan,Türkiye,TR3,TR1,Goalkeeper,20.0,winter,
